timestamp,cpu_percent,memory_usage_mb,memory_percent,response_time_ms,status
2025-10-13 10:39:45,98.83,1024,100.00,46,healthy
2025-10-13 10:39:51,0.02,23.66,2.31,13,healthy
2025-10-13 10:39:57,0.02,23.73,2.32,10,healthy
2025-10-13 10:40:02,0.00,33.86,3.31,11,healthy
2025-10-13 10:40:08,0.02,38.87,3.80,8,healthy
2025-10-13 10:40:14,101.37,833.4,81.39,37,healthy
2025-10-13 10:40:19,100.23,892.1,87.12,142,healthy
2025-10-13 10:40:24,0.03,23.64,2.31,13,healthy
2025-10-13 10:40:30,0.03,23.71,2.32,9,healthy
2025-10-13 10:40:36,0.00,3.48,0.34,19,healthy
2025-10-13 10:40:42,3.91,24.19,2.36,11,healthy
2025-10-13 10:40:47,100.60,847.8,82.79,101,healthy
2025-10-13 10:40:53,0.01,23.64,2.31,14,healthy
2025-10-13 10:40:59,0.02,23.71,2.32,14,healthy
2025-10-13 10:41:04,100.46,1024,100.00,47,unhealthy
2025-10-13 10:41:10,0.03,23.63,2.31,10,healthy
2025-10-13 10:41:16,76.71,486.7,47.53,38,healthy
2025-10-13 10:41:22,1.45,24.45,2.39,11,healthy
2025-10-13 10:41:27,0.02,23.78,2.32,14,healthy
2025-10-13 10:41:33,46.03,316.6,30.92,47,healthy
2025-10-13 10:41:39,0.03,23.62,2.31,14,healthy
2025-10-13 10:41:44,0.02,23.7,2.31,14,healthy
2025-10-13 10:41:50,101.22,1024,100.00,5,unhealthy
2025-10-13 10:41:56,4.21,24.2,2.36,14,healthy
2025-10-13 10:42:02,10.98,24.5,2.39,10,healthy
2025-10-13 10:42:07,93.70,752.8,73.52,85,healthy
2025-10-13 10:42:13,0.02,23.64,2.31,11,healthy
2025-10-13 10:42:19,0.01,23.71,2.32,13,healthy
2025-10-13 10:42:23,0.00,11,100.00,9,healthy
2025-10-13 10:42:29,4.29,23.97,2.34,15,healthy
2025-10-13 10:42:35,100.93,808.4,78.95,116,healthy
2025-10-13 10:42:40,0.03,23.63,2.31,9,healthy
2025-10-13 10:42:46,0.04,23.71,2.32,14,healthy
2025-10-13 10:42:52,0.00,23.55,2.30,13,healthy
2025-10-13 10:42:58,0.00,23.92,2.34,9,healthy
2025-10-13 10:43:04,0.02,23.69,2.31,15,healthy
2025-10-13 10:43:09,95.44,1024,100.00,168,healthy
2025-10-13 10:43:15,0.02,23.64,2.31,13,healthy
2025-10-13 10:43:22,78.70,527.2,51.48,41,healthy
2025-10-13 10:43:28,0.02,23.7,2.31,11,healthy
2025-10-13 10:43:34,0.02,23.75,2.32,14,healthy
2025-10-13 10:43:39,99.83,1024,100.00,34,healthy
2025-10-13 10:43:45,0.02,23.8,2.32,14,healthy
2025-10-13 10:43:52,0.03,23.7,2.31,13,healthy
2025-10-13 10:43:58,100.07,1018,99.41,55,unhealthy
2025-10-13 10:44:04,3.93,23.69,2.31,16,healthy
2025-10-13 10:44:09,100.84,631.3,61.65,36,healthy
2025-10-13 10:44:15,0.03,23.63,2.31,15,healthy
2025-10-13 10:44:22,0.01,23.7,2.31,11,healthy
2025-10-13 10:44:28,98.77,1023,99.90,70,healthy
2025-10-13 10:44:34,0.25,23.91,2.33,13,healthy
2025-10-13 10:44:39,38.00,245.2,23.95,13,healthy
2025-10-13 10:44:45,0.02,23.63,2.31,13,healthy
2025-10-13 10:44:52,0.02,23.7,2.31,12,healthy
2025-10-13 10:44:58,99.88,1024,100.00,7,healthy
2025-10-13 10:45:04,0.02,23.55,2.30,11,healthy
2025-10-13 10:45:09,0.02,23.7,2.31,11,healthy
2025-10-13 10:45:15,99.94,1024,100.00,5,unhealthy
2025-10-13 10:45:22,0.02,23.55,2.30,9,healthy
2025-10-13 10:45:28,0.03,23.7,2.31,14,healthy
2025-10-13 10:45:34,99.11,919.7,89.81,120,healthy
